Names,Overs,Runs Conceded,Wickets,4 Wicket Hauls,Average,Strike Rate,Economy Rate
Hardik Pandya,92.2,506,9,0,56.22222222,61.56911111,5.488069414
Bhuvneshwar Kumar,182.1,962,30,1,32.06666667,36.4807,5.282811642
Jasprit Bumrah,149,610,29,1,21.03448276,30.87896552,4.093959732
Mohammed Shami,117.4,642,22,0,29.18181818,32.07154545,5.468483816
Ben Stokes,87,537,10,0,53.7,52.287,6.172413793
Chris Woakes,125,712,22,0,32.36363636,34.14772727,5.696
Mark Wood,165,979,20,1,48.95,49.5825,5.933333333
Liam Plunkett,103.3,655,20,2,32.75,31.04165,6.340755082
Tom Curran,82.5,495,17,1,29.11764706,29.16617647,6
Jason Holder,156.4,917,28,2,32.75,33.57014286,5.863171355
Oshane Thomas,57.1,413,15,1,27.53333333,22.87806667,7.232924694
Trent Boult,201.6,1068,43,2,24.8372093,28.17711628,5.297619048
Colin De Grandhomme,95.2,443,10,0,44.3,57.2152,4.653361345
Lockie Ferguson,153,817,34,3,24.02941176,27.045,5.339869281
Matt Henry,84.2,450,15,2,30,33.73613333,5.344418052
Tim Southee,131.5,740,18,1,41.11111111,43.90638889,5.627376426
Marcus Stoinis,141.5,899,21,0,42.80952381,40.49595238,6.35335689
Pat Cummins,111.2,510,25,3,20.4,26.73248,4.586330935
Jhye Richardson,108,632,24,1,26.33333333,27.045,5.851851852
Nathan Coulter-Nile,47.2,290,11,0,26.36363636,25.78836364,6.144067797
Kagiso Rabada,201.1,976,36,2,27.11111111,33.57252778,4.853306813
Lungi Ngidi,137.6,736,34,2,21.64705882,24.32282353,5.348837209
Andile Phehlukwayo,144.4,808,31,1,26.06451613,27.99496774,5.595567867
Dale Steyn,72.3,294,16,0,18.375,27.1576875,4.066390041
Dwaine Pretorius,53,258,7,0,36.85714286,45.50428571,4.867924528
Rubel Hossain,109.2,560,24,1,23.33333333,27.3455,5.128205128
Mashrafe Mortaza,188.3,927,27,1,34.33333333,41.91418519,4.92299522
Mustafizur Rahman,175,797,33,1,24.15151515,31.87121212,4.554285714
Faheem Ashraf,115.6,541,17,1,31.82352941,40.868,4.679930796
Hasan Ali,135.1,742,21,0,35.33333333,38.66433333,5.492227979
Shaheen Afridi,75.5,361,19,2,19,23.88184211,4.781456954
Lasith Malinga,113,644,21,2,30.66666667,32.33952381,5.699115044
Thisara Perera,130.8,794,31,3,25.61290323,25.35832258,6.070336391
